id,city,target_date,side,entry_fill,size_usdc,v1_bucket_F,corrected_bucket_F,actual_F,no_bet_wins,booked_pnl,corrected_pnl,status,note
120,Hong Kong,2026-06-29,NO,0.55,2.0,87.8/87.8,87.4/88.2,87.1,False,1.63,-2.0,CLOSED,bucket_bug_flip
121,Istanbul,2026-06-28,NO,0.56,2.0,84.2/84.2,83.8/84.6,78.4,True,1.57,1.57,CLOSED,
122,Madrid,2026-06-28,NO,0.43,2.0,96.8/96.8,96.4/97.2,94.2,True,2.65,2.65,CLOSED,
123,Istanbul,2026-06-28,NO,0.6,2.0,86.0/86.0,85.6/86.4,78.4,True,1.33,1.33,CLOSED,
124,Wellington,2026-06-30,NO,0.48,2.0,53.6/53.6,53.2/54.0,51.7,True,2.16,2.17,CLOSED,
125,Warsaw,2026-06-28,NO,0.58,2.0,98.6/98.6,98.2/99.0,100.0,True,1.45,1.45,CLOSED,
126,Cape Town,2026-06-30,NO,0.6,2.0,59.0/59.0,59.0/59.0,59.1,False,,-2.0,OPEN,
127,Tokyo,2026-06-30,NO,0.54,2.0,71.6/71.6,71.2/72.0,69.5,True,1.7,1.7,CLOSED,
128,Sao Paulo,2026-06-28,NO,0.61,2.0,78.8/78.8,78.4/79.2,77.7,True,1.28,1.28,CLOSED,
129,Seoul,2026-06-29,NO,0.56,2.0,69.8/69.8,69.4/70.2,68.7,True,1.57,1.57,CLOSED,
130,Istanbul,2026-06-29,NO,0.49,2.0,80.6/80.6,80.2/81.0,84.9,True,2.08,2.08,CLOSED,
131,Wellington,2026-07-01,NO,0.48,2.0,53.2/54.0,53.2/54.0,52.4,True,,2.17,OPEN,
132,Ankara,2026-07-01,NO,0.59,2.0,89.2/90.0,89.2/90.0,88.6,True,,1.39,OPEN,
133,Tokyo,2026-07-01,NO,0.53,2.0,71.6/71.6,71.6/71.6,68.9,True,,1.77,OPEN,
134,Hong Kong,2026-07-01,NO,0.57,2.0,82.4/82.4,82.4/82.4,83.1,True,,1.51,OPEN,
135,Hong Kong,2026-07-01,NO,0.59,2.0,91.0/91.8,91.0/91.8,88.5,True,,1.39,OPEN,
136,Istanbul,2026-07-01,NO,0.49,2.0,82.0/82.8,82.0/82.8,84.2,True,,2.08,OPEN,
137,London,2026-07-02,NO,0.55,2.0,62.2/63.0,62.2/63.0,62.9,False,,-2.0,OPEN,
138,Tokyo,2026-07-02,NO,0.56,2.0,69.4/70.2,69.4/70.2,70.6,False,,-2.0,OPEN,
139,Wellington,2026-07-02,NO,0.48,2.0,55.0/55.8,55.0/55.8,53.7,True,,2.17,OPEN,
